Voyage ID,Ship ID,Ship Name,Encounter Hex,Encounter Type,Damage Taken
1,55,Scurvy Goose,Hex P11,Storm,7%
1,55,Scurvy Goose,Hex Q12,Harpies,0%
1,55,Scurvy Goose,Hex P13,Storm,7%
1,55,Scurvy Goose,Hex Q14,Pirates,0%
3,18,Gray Swan,Hex O14,Harpies,0%
3,18,Gray Swan,Hex O14,Reef,10%
3,18,Gray Swan,Hex M13,Pirates,0%
3,18,Gray Swan,Hex L13,Kraken,7%
3,18,Gray Swan,Hex J13,Kraken,0%
3,18,Gray Swan,Hex I13,Sharks,10%
5,64,Scurvy Swan,Hex E11,Pirates,30%
5,64,Scurvy Swan,Hex E11,Kraken,14%
5,64,Scurvy Swan,Hex D11,Storm,4%
5,64,Scurvy Swan,Hex G12,Harpies,7%
6,24,Mopey Hind,Hex Q8,Pirates,0%
6,24,Mopey Hind,Hex R9,Pirates,10%
6,24,Mopey Hind,Hex S8,Reef,27%
6,24,Mopey Hind,Hex R5,Pirates,0%
7,50,Orange Falcon,Hex O7,Reef,4%
7,50,Orange Falcon,Hex N7,Sharks,0%
8,56,Green Heart,Hex P7,Pirates,0%
8,56,Green Heart,Hex Q8,Harpies,0%
8,56,Green Heart,Hex Q9,Pirates,37%
8,56,Green Heart,Hex R10,Pirates,14%
8,56,Green Heart,Hex R10,Dragon,24%
8,56,Green Heart,Hex Q12,Pirates,0%
9,71,Golden Duck,Hex I2,Pirates,7%
9,71,Golden Duck,Hex I2,Iceberg,4%
9,71,Golden Duck,Hex F2,Sharks,0%
9,71,Golden Duck,Hex H2,Pirates,0%
10,46,Bloody Diamond,Hex M4,Reef,37%
11,28,Black Falcon,Hex G2,Iceberg,25%
11,28,Black Falcon,Hex G2,Reef,20%
11,28,Black Falcon,Hex H2,Harpies,10%
12,30,Gray Goose,Hex P12,Storm,45%
13,49,Orange Hind,Hex M15,Harpies,0%
13,49,Orange Hind,Hex L13,Pirates,15%
13,49,Orange Hind,Hex K13,Kraken,10%
13,49,Orange Hind,Hex K13,Sharks,0%
13,49,Orange Hind,Hex J13,Pirates,0%
13,49,Orange Hind,Hex J13,Kraken,50%
13,49,Orange Hind,Hex J13,Storm,20%
14,38,Rusty Swan,Hex P12,Reef,30%
14,38,Rusty Swan,Hex L7,Kraken,27%
14,38,Rusty Swan,Hex L7,Sharks,0%
14,38,Rusty Swan,Hex L7,Storm,0%
14,38,Rusty Swan,Hex K6,Storm,20%
15,14,Green Diamond,Hex G11,Storm,0%
15,14,Green Diamond,Hex H10,Kraken,14%
15,14,Green Diamond,Hex H10,Sharks,7%
17,58,White Tortoise,Hex P5,Storm,5%
17,58,White Tortoise,Hex P4,Iceberg,30%
17,58,White Tortoise,Hex P5,Storm,20%
18,1,Purple Pearl,Hex R5,Reef,7%
18,1,Purple Pearl,Hex S3,Sharks,0%
18,1,Purple Pearl,Hex R5,Pirates,37%
18,1,Purple Pearl,Hex R5,Harpies,0%
18,1,Purple Pearl,Hex Q5,Pirates,14%
19,65,Orange Duck,Hex K4,Iceberg,10%
19,65,Orange Duck,Hex K5,Harpies,0%
19,65,Orange Duck,Hex N6,Storm,25%
19,65,Orange Duck,Hex O6,Storm,20%
20,4,Purple Duck,Hex O14,Harpies,0%
21,19,Mopey Goose,Hex Q14,Pirates,20%
21,19,Mopey Goose,Hex P12,Harpies,7%
21,19,Mopey Goose,Hex P12,Reef,7%
21,19,Mopey Goose,Hex N11,Storm,7%
21,19,Mopey Goose,Hex N13,Harpies,4%
21,19,Mopey Goose,Hex N13,Reef,37%
22,76,Purple Diamond,Hex Q9,Reef,24%
22,76,Purple Diamond,Hex Q8,Storm,7%
24,9,Saucy Duck,Hex I14,Harpies,0%
24,9,Saucy Duck,Hex I14,Sharks,7%
24,9,Saucy Duck,Hex J13,Kraken,4%
24,9,Saucy Duck,Hex H13,Pirates,30%
25,53,Red Bottom,Hex O7,Reef,7%
25,53,Red Bottom,Hex N7,Storm,4%
27,3,Black Tortoise,Hex H1,Reef,7%
28,45,Golden Tortoise,Hex G7,Kraken,30%
28,45,Golden Tortoise,Hex G7,Sharks,0%
29,81,Silver Diamond,Hex R13,Kraken,15%
29,81,Silver Diamond,Hex R13,Sharks,10%
29,81,Silver Diamond,Hex S11,Storm,0%
30,52,Saucy Pearl,Hex I11,Sharks,5%
31,27,Black Heart,Hex G12,Sharks,0%
31,27,Black Heart,Hex H8,Harpies,0%
31,27,Black Heart,Hex G7,Kraken,0%
31,27,Black Heart,Hex H6,Kraken,30%
31,27,Black Heart,Hex I4,Iceberg,15%
33,54,White Pearl,Hex R5,Harpies,20%
34,43,Saucy Heart,Hex K3,Reef,5%
34,43,Saucy Heart,Hex K3,Storm,20%
35,17,White Heart,Hex I7,Pirates,20%
35,17,White Heart,Hex I8,Reef,24%
35,17,White Heart,Hex I6,Sharks,0%
36,59,Silver Falcon,Hex R11,Harpies,0%
36,59,Silver Falcon,Hex R11,Kraken,0%
36,59,Silver Falcon,Hex R12,Kraken,20%
37,8,Silver Tortoise,Hex L14,Storm,20%
39,13,Golden Heart,Hex L13,Sharks,4%
39,13,Golden Heart,Hex K13,Merfolk,17%
39,13,Golden Heart,Hex J13,Harpies,0%
41,36,White Falcon,Hex N15,Storm,5%
42,72,Saucy Hind,Hex H10,Kraken,4%
