Voyage ID,Origin Port,Date,Planned Route,Ship ID,Ship Name,Ship Type,Captain Name,Weeks Since Last Voyage,Voyage Destination,Voyage Purpose,Damage Taken
1,Hex P15,January 1407 Week 2,P15-O15-O14-N14-M13-M12-L11-L10-L9-L8-K7-K6-J5-J4-I3,22,Purple Heart,Galleon,Patrick Flyn,9999,Hex I3,Cargo: Blackwine,77%
2,Hex P15,January 1407 Week 2,P15-Q14-P13-Q12-Q11-R12-Q13-Q14-P15,49,Red Bottom,Carrack,Liam O'Connell,9999,Hex Q11,Scouting,60%
3,Hex G13,January 1407 Week 2,G13-H13-I12-J12-K12-L12-K12-J12-I12-H12-G13,12,White Bottom,Barquentine,Seamus Keating,9999,Hex L12,Fishing,90%
4,Hex G13,January 1407 Week 2,G13-H13-I12-J12-J11-K11-L10-L9-M8-N8-N7-O6-P6-Q6,25,White Heart,Galleon,Fergus Reagan,9999,Hex Q6,Cargo: Redstone,64%
5,Hex G13,January 1407 Week 2,G13-G12-G11-H10-G9-H8-G7-H6-H5-I4-I3,18,Golden Tortoise,Galleon,Patrick Blake,9999,Hex I3,Cargo: Magefruit,74%
6,Hex Q6,January 1407 Week 2,Q6-P6-O5-N5-N4-N5-O5-P5-Q6,20,Golden Hind,Dhow,Conor Hogan,9999,Hex N4,Scouting,25%
7,Hex I3,January 1407 Week 2,I3-J4-J5-K5-L6-K5-K4-J3-I3,5,White Swan,Barquentine,Patrick Flyn,9999,Hex L6,Scouting,25%
8,Hex P15,January 1407 Week 3,P15-O15-O14-N13-M13-L13-K13-J13-I13-H13-G13,42,Bloody Hind,Galleon,Conall O'Neal,10000,Hex G13,Cargo: Darkwood,44%
9,Hex G13,January 1407 Week 3,G13-H12-I12-I11-J11-K10-L10-L9-M8-N8-N7-O7-P7-Q6,29,Bloody Diamond,Barquentine,Sir Friedrich von Konig,10000,Hex Q6,Cargo: Redstone,Destroyed
10,Hex Q6,January 1407 Week 3,Q6-P6-O6-N5-M5-L5-L4-K3-J3-I3,60,Saucy Diamond,Barquentine,Conor Cullen,10000,Hex I3,Cargo: Scrolls,30%
