Voyage ID,Ship ID,Ship Name,Encounter Hex,True Encounter Type,Logged Encounter Type,Damage Taken
1,55,Scurvy Goose,Hex P11,Storm,Storm,7%
1,55,Scurvy Goose,Hex Q12,Harpies,Harpies,0%
1,55,Scurvy Goose,Hex P13,Storm,Storm,7%
1,55,Scurvy Goose,Hex Q14,Pirates,Pirates,0%
2,37,White Swan,Hex Q14,Pirates,Pirates,25%
2,37,White Swan,Hex Q13,Pirates,Pirates,80%
3,18,Gray Swan,Hex O14,Harpies,Harpies,0%
3,18,Gray Swan,Hex O14,Reef,Reef,10%
3,18,Gray Swan,Hex M13,Pirates,Pirates,0%
3,18,Gray Swan,Hex L13,Kraken,Kraken,7%
3,18,Gray Swan,Hex J13,Kraken,Kraken,0%
3,18,Gray Swan,Hex I13,Sharks,Sharks,10%
5,64,Scurvy Swan,Hex E11,Pirates,Pirates,30%
5,64,Scurvy Swan,Hex E11,Kraken,Kraken,14%
5,64,Scurvy Swan,Hex D11,Storm,Storm,4%
5,64,Scurvy Swan,Hex G12,Harpies,Harpies,7%
6,24,Mopey Hind,Hex Q8,Pirates,Pirates,0%
6,24,Mopey Hind,Hex R9,Pirates,Pirates,10%
6,24,Mopey Hind,Hex S8,Reef,Reef,27%
6,24,Mopey Hind,Hex S8,Iceberg,None,0%
6,24,Mopey Hind,Hex S6,Iceberg,None,0%
6,24,Mopey Hind,Hex R5,Pirates,Pirates,0%
6,24,Mopey Hind,Hex R5,Iceberg,None,0%
7,50,Orange Falcon,Hex P7,Iceberg,None,0%
7,50,Orange Falcon,Hex O7,Reef,Reef,4%
7,50,Orange Falcon,Hex M9,Iceberg,None,0%
7,50,Orange Falcon,Hex N7,Iceberg,None,0%
7,50,Orange Falcon,Hex N7,Sharks,Sharks,0%
7,50,Orange Falcon,Hex O7,Iceberg,None,0%
7,50,Orange Falcon,Hex P7,Iceberg,None,0%
8,56,Green Heart,Hex P7,Pirates,Pirates,0%
8,56,Green Heart,Hex Q8,Harpies,Harpies,0%
8,56,Green Heart,Hex Q9,Pirates,Pirates,37%
8,56,Green Heart,Hex R10,Pirates,Pirates,14%
8,56,Green Heart,Hex R10,Iceberg,None,0%
8,56,Green Heart,Hex R10,Dragon,Dragon,24%
8,56,Green Heart,Hex Q12,Pirates,Pirates,0%
9,71,Golden Duck,Hex I2,Pirates,Pirates,7%
9,71,Golden Duck,Hex I2,Iceberg,Iceberg,4%
9,71,Golden Duck,Hex F2,Sharks,Sharks,0%
9,71,Golden Duck,Hex H2,Pirates,Pirates,0%
9,71,Golden Duck,Hex H2,Iceberg,None,0%
10,46,Bloody Diamond,Hex J3,Iceberg,None,0%
10,46,Bloody Diamond,Hex M4,Reef,Reef,37%
10,46,Bloody Diamond,Hex M4,Iceberg,None,0%
10,46,Bloody Diamond,Hex K4,Iceberg,None,0%
11,28,Black Falcon,Hex I2,Iceberg,None,0%
11,28,Black Falcon,Hex H2,Iceberg,None,0%
11,28,Black Falcon,Hex G2,Iceberg,Iceberg,25%
11,28,Black Falcon,Hex F3,Iceberg,None,0%
11,28,Black Falcon,Hex G2,Reef,Reef,20%
11,28,Black Falcon,Hex G2,Iceberg,None,0%
11,28,Black Falcon,Hex H2,Harpies,Harpies,10%
11,28,Black Falcon,Hex I2,Iceberg,None,0%
12,30,Gray Goose,Hex P12,Storm,Storm,45%
12,30,Gray Goose,Hex P10,Iceberg,None,0%
13,49,Orange Hind,Hex M15,Harpies,Harpies,0%
13,49,Orange Hind,Hex L13,Pirates,Pirates,15%
13,49,Orange Hind,Hex K13,Kraken,Kraken,10%
13,49,Orange Hind,Hex K13,Sharks,Sharks,0%
13,49,Orange Hind,Hex J13,Pirates,Pirates,0%
13,49,Orange Hind,Hex J13,Kraken,Kraken,50%
13,49,Orange Hind,Hex J13,Storm,Storm,20%
14,38,Rusty Swan,Hex P12,Reef,Reef,30%
14,38,Rusty Swan,Hex L7,Kraken,Kraken,27%
14,38,Rusty Swan,Hex L7,Iceberg,None,0%
14,38,Rusty Swan,Hex L7,Sharks,Sharks,0%
14,38,Rusty Swan,Hex L7,Maelstrom,Storm,0%
14,38,Rusty Swan,Hex L6,Iceberg,None,0%
14,38,Rusty Swan,Hex K6,Iceberg,None,0%
14,38,Rusty Swan,Hex K6,Storm,Storm,20%
14,38,Rusty Swan,Hex J4,Iceberg,None,0%
15,14,Green Diamond,Hex G11,Storm,Storm,0%
15,14,Green Diamond,Hex H10,Kraken,Kraken,14%
15,14,Green Diamond,Hex H10,Sharks,Sharks,7%
15,14,Green Diamond,Hex H9,Iceberg,None,0%
16,6,Green Pearl,Hex K4,Iceberg,None,0%
16,6,Green Pearl,Hex J4,Iceberg,None,0%
17,58,White Tortoise,Hex P5,Iceberg,None,0%
17,58,White Tortoise,Hex P5,Storm,Storm,5%
17,58,White Tortoise,Hex P4,Iceberg,Iceberg,30%
17,58,White Tortoise,Hex P5,Iceberg,None,0%
17,58,White Tortoise,Hex P5,Storm,Storm,20%
18,1,Purple Pearl,Hex R5,Reef,Reef,7%
18,1,Purple Pearl,Hex R5,Iceberg,None,0%
18,1,Purple Pearl,Hex S3,Iceberg,None,0%
18,1,Purple Pearl,Hex S3,Sharks,Sharks,0%
18,1,Purple Pearl,Hex R5,Pirates,Pirates,37%
18,1,Purple Pearl,Hex R5,Harpies,Harpies,0%
18,1,Purple Pearl,Hex Q5,Pirates,Pirates,14%
19,65,Orange Duck,Hex K4,Iceberg,Iceberg,10%
19,65,Orange Duck,Hex K5,Harpies,Harpies,0%
19,65,Orange Duck,Hex N6,Iceberg,None,0%
19,65,Orange Duck,Hex N6,Storm,Storm,25%
19,65,Orange Duck,Hex O6,Storm,Storm,20%
19,65,Orange Duck,Hex P6,Iceberg,None,0%
20,4,Purple Duck,Hex O14,Harpies,Harpies,0%
21,19,Mopey Goose,Hex Q14,Pirates,Pirates,20%
21,19,Mopey Goose,Hex P12,Harpies,Harpies,7%
